Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
CIFAR10,0,0,0,0,DummyClassifier,DummyClassifier(),0.002989292,0.1,0.1,0.1,0.1,0.1,"[[1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]]"
CIFAR10,0,0,0,0,DummyClassifier,DummyClassifier(strategy='uniform'),0.00199008,0.0988,0.0988,0.0988,0.0988,0.0988,"[[106 104 101  89 107  94 107 110  86  96]
 [105 100  94  99 101 109  95  96 104  97]
 [100  97 107  91  81 106 105  97 111 105]
 [ 92 105  92 111 101 101 101 105 113  79]
 [104 102 119 102 107  82  89  87  97 111]
 [ 97  92 111 108  90  79 107  97 107 112]
 [109 118 106  91 114 102  73  87  96 104]
 [104 112  98  91  91 106  97  86 117  98]
 [106  98  97 103  96  93  89 105  95 118]
 [102 100  88  82  84  94 100 118 108 124]]"
MNIST,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),7.979251623,0.9232,0.9221,0.9232,0.9232,0.9232,"[[ 954    0    2    2    2   10    6    2    2    0]
 [   0 1110    7    2    0    2    3    1   10    0]
 [   9   12  924   17   10    4   12    8   33    3]
 [   4    1   18  922    3   25    2   11   18    6]
 [   1    3    8    3  913    1    8    8    6   31]
 [   9    5    3   28    9  781   15    8   30    4]
 [   9    4    9    4    7   19  902    1    3    0]
 [   2    8   22    7    6    2    0  947    3   31]
 [   9   12    4   23    8   27    9   11  856   15]
 [   6    7    2   10   22    8    0   24    7  923]]"
MNIST,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),20.91111445,0.6456,0.6439,0.6456,0.6456,0.6456,"[[925   1   8   3   2  11  13   4   9   4]
 [  0 982  28  47   6  27   6  11  28   0]
 [ 25  15 815  55  20  19  11  21  46   5]
 [  9   8  31 839   4  61   6  17  20  15]
 [ 26  36  54  57 275 140  51  43 210  90]
 [ 20  10  14  36   3 743  28   3  26   9]
 [ 90   5 126  12  59  79 372   7 185  23]
 [ 89  12 105 143  10  70  11 460  19 109]
 [ 12  12  41  51  33  51  16   9 704  45]
 [ 39  24  47 126  99 114  24  22 173 341]]"
MNIST,0,0,0,0,RandomForestClassifier,"RandomForestClassifier(n_jobs=-1, random_state=42)",8.805366278,0.9586,0.9585,0.9586,0.9586,0.9586,"[[ 970    0    0    0    0    3    4    1    2    0]
 [   0 1118    3    3    0    4    3    0    4    0]
 [   7    0  988    7    2    2    3    7   16    0]
 [   2    0    7  963    0   20    0    4   13    1]
 [   2    0    1    1  942    4    9    0   10   13]
 [   6    0    1   14    0  861    4    1    5    0]
 [  13    3    0    0    6    9  920    0    7    0]
 [   6    3   23    8    4    6    0  957    8   13]
 [   5    0    5   10    4    7    1    2  936    4]
 [  13    5    2   15   15   14    0    1   13  931]]"
MNIST,0,0,0,0,ExtraTreesClassifier,"ExtraTreesClassifier(n_jobs=-1, random_state=42)",6.41937685,0.972,0.9719,0.972,0.972,0.972,"[[ 968    0    1    0    0    3    4    1    3    0]
 [   0 1125    2    3    0    1    3    0    1    0]
 [   6    0  996    6    2    1    4   12    5    0]
 [   1    0    6  978    0    8    0    7    6    4]
 [   1    0    2    0  957    0    5    0    2   15]
 [   5    0    1    5    0  868    7    1    3    2]
 [   8    3    0    0    4    3  938    0    2    0]
 [   2    3   21    2    1    0    0  985    3   11]
 [   5    0    4    6    4    4    2    6  938    5]
 [   5    5    2    8    8    5    1    3    5  967]]"
MNIST,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),5.922425747,0.9423,0.9415,0.9423,0.9423,0.9423,"[[ 961    1    2    2    1    6    6    1    0    0]
 [   0 1128    3    0    0    0    3    0    1    0]
 [  15   13  951   23    4    0    7    8   10    1]
 [   0    3    4  961    3   13    0   11   11    4]
 [   1   10    6    3  922    2    5    4    3   26]
 [   6    1    2   26    8  818   16    2    6    7]
 [  11    4    1    0    2    7  931    0    2    0]
 [   0   21   11    4    7    2    0  953    1   29]
 [  13    2    8   18   11   28    3    6  878    7]
 [   6    5    4   11   19    6    0   33    5  920]]"
MNIST,0,0,0,0,GaussianNB,GaussianNB(),1.401483059,0.1077,0.1046,0.1077,0.1077,0.1077,"[[   0    1  979    0    0    0    0    0    0    0]
 [   0    0 1135    0    0    0    0    0    0    0]
 [   0    0 1030    1    0    0    1    0    0    0]
 [   0    2  996    6    5    0    0    0    0    1]
 [   0    1  972    0    8    0    0    1    0    0]
 [   0    0  824    1   60    6    0    0    0    1]
 [   0    0  945    0    3    7    3    0    0    0]
 [   0   15  355   66  513    8    0   13    0   58]
 [   0    1  947    3   17    6    0    0    0    0]
 [   0   15  688   23  270    2    0    0    0   11]]"
MNIST,0,0,0,0,LinearSVC,LinearSVC(random_state=42),470.1085737,0.9125,0.9115,0.9125,0.9125,0.9125,"[[ 956    0    3    1    3    6    6    3    1    1]
 [   0 1113    4    3    0    1    4    2    8    0]
 [  13   17  892   30    9    5   14   14   35    3]
 [   6    3   15  917    2   21    6   10   22    8]
 [   1    4    8    7  914    0    7    4    8   29]
 [  11    1    2   31    9  781   17    8   26    6]
 [  10    4    7    2    9   20  904    0    2    0]
 [   2   12   22    8   10    3    1  937    5   28]
 [  14   14    9   24   13   37   12   10  828   13]
 [   7   11    4   16   39   11    0   28   10  883]]"
MNIST,0,0,0,0,MLPClassifier,MLPClassifier(random_state=42),46.53086162,0.9758,0.9756,0.9758,0.9758,0.9758,"[[ 969    0    0    0    0    1    4    1    5    0]
 [   0 1125    3    1    0    0    2    1    3    0]
 [   6    5  997    4    1    0    3    5   10    1]
 [   0    0    6  991    0    6    1    2    1    3]
 [   6    1    5    0  950    0    3    3    2   12]
 [   2    0    0   10    1  870    4    0    3    2]
 [   5    1    5    0    4    3  937    0    3    0]
 [   2    4   13    0    2    0    0  998    1    8]
 [   2    0    3    7    5    3    3    3  943    5]
 [   3    4    0    3    8    4    0    5    4  978]]"
MNIST,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),14.59617805,0.873,0.8717,0.873,0.873,0.873,"[[ 939    0    1    4    2   13   10    1    9    1]
 [   0 1095    3    3    2    2    4    0   26    0]
 [  15   30  825   34   21    5   32    9   55    6]
 [   5    6   25  880    4   27    3   16   29   15]
 [   0   12    7    0  889    3    7    2   10   52]
 [   9    7    5   46   13  732   15   10   36   19]
 [  12    8   11    0   27   29  855    0   16    0]
 [   2   29   13   10   23    1    0  867    3   80]
 [   7   26    7   27   20   54   10    6  791   26]
 [   9    7    1   13   62    6    0   42   12  857]]"
MNIST,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),9.742655993,0.1111,0.1079,0.1111,0.1111,0.1111,"[[   3    0  972    3    2    0    0    0    0    0]
 [   0    0 1135    0    0    0    0    0    0    0]
 [   0    0 1029    2    0    0    1    0    0    0]
 [   1   22  966   19    1    0    0    0    0    1]
 [  10   13  944    8    5    0    0    2    0    0]
 [  35   21  759    8   63    5    0    0    0    1]
 [   3    0  937    0    8    2    8    0    0    0]
 [   0   58  274  572    1   24    0   27    0   72]
 [  15    9  919    5   18    7    0    0    0    1]
 [   0   37  643  295    2   17    0    0    0   15]]"
MNIST,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=100, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",17.75730491,0.9616,0.9614,0.9616,0.9616,0.9616,"[[ 969    0    0    0    0    3    0    1    6    1]
 [   1 1115    4    3    0    2    2    1    7    0]
 [   5    0  992   11    4    0    0    9    9    2]
 [   2    0    5  970    0   14    0    8   11    0]
 [   0    0    2    1  940    1    5    1    5   27]
 [   4    0    1   12    0  858    3    3    8    3]
 [  16    2    2    0   10   15  902    0   11    0]
 [   1    5   22    6    1    1    0  966    8   18]
 [   4    1    3    2    3    4    2    1  944   10]
 [   7    5    1    9   10    5    0    5    7  960]]"
MNIST,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=10, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",2.962773323059082,0.8962,0.894,0.8962,0.8962,0.8962,"[[ 958    0    1    1    1    2    3    1   12    1]
 [   1 1074   15   10    1    1    6    3   24    0]
 [  16    4  910   21   16    1    4   15   39    6]
 [   7    1   25  909    2    5    4   15   29   13]
 [   2    4    3    4  867    3    8    5   18   68]
 [  18    7    5   74   14  657   21   14   47   35]
 [   9    1    1    0   17   12  880    0   38    0]
 [   0    5   30    4    6    1    0  932   12   38]
 [   8    8   14   13    9    8    8    8  873   25]
 [   9    4    3   24   31    8    0   16   12  902]]"
MNIST,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=10, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",3.7391724586486816,0.8829,0.8808,0.8829,0.8829,0.8829,"[[ 960    1    0    0    1    2    4    1   11    0]
 [   1 1089    4   10    1    2    7    0   21    0]
 [  27   11  861   35   18    3    8   11   57    1]
 [  10    1   18  903    5   10    4   12   33   14]
 [   3    4    3    7  897    3    5    2   18   40]
 [  21    5    5  101   18  644   23   11   41   23]
 [  16    5    5    1   16   15  869    0   31    0]
 [   6    7    9   36   13    3    0  873   17   64]
 [   8    7    9   23   12   10    6    5  871   23]
 [  11    5    8   31   45   13    0   19   15  862]]"
MNIST,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=25, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",5.277438640594482,0.9246,0.9238,0.9246,0.9246,0.9246,"[[ 964    0    0    1    0    4    2    1    7    1]
 [   1 1100    8    2    0    6    6    2   10    0]
 [  13    0  943   16   13    1    8   12   22    4]
 [   7    1   18  917    0   22    2   12   23    8]
 [   1    1    2    1  897    9    7    1   13   50]
 [  14    1    2   29    7  790   10    6   19   14]
 [  12    1    1    0   13   24  888    0   19    0]
 [   1    7   33    3    5    4    0  934   12   29]
 [   6    5    7   10    5   13    6    4  897   21]
 [  11    7    2   15   25   16    1    8    8  916]]"
MNIST,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=25, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",7.677631139755249,0.8866,0.8844,0.8866,0.8866,0.8866,"[[ 961    1    0    0    1    4    3    1    9    0]
 [   1 1098    5   10    1    2    8    0   10    0]
 [  25   10  881   28   13    2   11    7   54    1]
 [  10    0   24  908    4    7    4   11   26   16]
 [   2    2    2    6  906    3    5    3   16   37]
 [  19    6    2   98   18  656   20   11   37   25]
 [  21    0    6    1   22   15  859    0   34    0]
 [   6   11   15   31   10    5    0  861   19   70]
 [   9    7    8   21   17   11    6    6  869   20]
 [   8    5   13   35   38    9    0   15   19  867]]"
MNIST,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=50, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",9.5982985496521,0.9461,0.9458,0.9461,0.9461,0.9461,"[[ 968    0    0    0    0    2    3    1    6    0]
 [   1 1107    6    3    0    2    5    2    9    0]
 [  10    0  969   11    8    1    4   11   14    4]
 [   2    0   15  942    0   20    2    7   15    7]
 [   1    0    3    1  912    4    7    1   10   43]
 [   8    0    2   17    0  837    6    4   14    4]
 [  13    2    1    0   10   10  910    0   12    0]
 [   1    3   27    6    4    3    0  951    9   24]
 [   6    2    6    6    2    8    5    3  921   15]
 [  11    8    2   11   16    8    0    4    5  944]]"
MNIST,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=50, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",14.701619625091553,0.89,0.8881,0.89,0.89,0.89,"[[ 958    2    1    0    1    2    3    2   11    0]
 [   1 1099    5   10    1    0    7    0   11    1]
 [  30   10  870   28   16    1   12    6   58    1]
 [  11    0   18  909    3   10    4   12   28   15]
 [   3    2    3    7  905    4    5    2   14   37]
 [  18    6    2   79   16  675   24    9   37   26]
 [  19    4    5    1   19   14  864    0   32    0]
 [   4   10   13   28    9    3    2  876   20   63]
 [   5    8    8   17   17    9    7    6  875   22]
 [  10    5   11   23   41   10    9   13   18  869]]"
MNIST,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=100, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",18.1434965133667,0.9616,0.9614,0.9616,0.9616,0.9616,"[[ 969    0    0    0    0    3    0    1    6    1]
 [   1 1115    4    3    0    2    2    1    7    0]
 [   5    0  992   11    4    0    0    9    9    2]
 [   2    0    5  970    0   14    0    8   11    0]
 [   0    0    2    1  940    1    5    1    5   27]
 [   4    0    1   12    0  858    3    3    8    3]
 [  16    2    2    0   10   15  902    0   11    0]
 [   1    5   22    6    1    1    0  966    8   18]
 [   4    1    3    2    3    4    2    1  944   10]
 [   7    5    1    9   10    5    0    5    7  960]]"
MNIST,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=100, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",30.275941133499146,0.8912,0.8892,0.8912,0.8912,0.8912,"[[ 959    1    0    0    1    3    4    1   11    0]
 [   1 1099    4   10    1    1    7    0   12    0]
 [  27   13  874   27   15    1   10    6   58    1]
 [  11    2   20  909    3    6    4   12   29   14]
 [   2    1    3    3  912    4    5    2   16   34]
 [  18    5    3   88   16  670   22   10   34   26]
 [  16    4    7    1   21   14  863    0   32    0]
 [   4    8   16   26   10    7    0  874   19   64]
 [   6    6    8   18   14    8    7    6  880   21]
 [   7    4   11   21   43   13    0   17   21  872]]"
MNIST,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(10, 10),Dropout:0)",102.27698063850403,0.9322,0.9312,0.9322,0.9322,0.9322,"[[ 952    0    4    2    2    8    4    6    2    0]
 [   0 1109    3    3    0    1    1    3   15    0]
 [  12    4  948   24   11    1    7   10   13    2]
 [   5    3   15  937    1    6    0   12   26    5]
 [   3    1   10    3  912    2    7   10    4   30]
 [   8    3    0   51    3  787    7    5   19    9]
 [  15    4    3    0    7   16  909    0    4    0]
 [   2    9   17    6    4    3    0  961    0   26]
 [   3   12    7   26    7   14    9    6  878   12]
 [   9    8    0   12   19    4    1   19    8  929]]"
MNIST,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(25, 25),Dropout:0)",68.75352954864502,0.9593,0.9589,0.9593,0.9593,0.9593,"[[ 966    0    3    0    1    4    0    1    2    3]
 [   2 1118    5    2    0    1    1    1    5    0]
 [   6    5  985   11    3    2    4    6    9    1]
 [   0    1    9  971    2    9    1    4    8    5]
 [   2    1    3    1  943    3    8    5    3   13]
 [   2    2    1   18    1  841    9    2   12    4]
 [   8    3    6    1    5   11  920    0    4    0]
 [   2    9    8    8    5    0    0  973    5   18]
 [   5    4    5    9    7   10    3    3  923    5]
 [   2    4    0   12   18    6    1    6    7  953]]"
