Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
coarse,,,,,DummyClassifier,DummyClassifier(),0.002995968,0.05,0.05,0.05,0.05,0.05,"[[500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]
 [500   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0]]"
coarse,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.001993418,0.0521,0.0521,0.0521,0.0521,0.0521,"[[34 28 29 22 25 22 26 20 29 24 16 26 25 25 24 27 24 25 26 23]
 [21 26 30 22 23 26 29 18 28 30 21 22 26 23 23 22 36 29 17 28]
 [22 24 23 25 26 34 30 24 26 24 18 31 21 23 23 31 22 26 19 28]
 [21 18 26 29 21 34 24 14 26 31 21 19 36 23 33 26 27 27 20 24]
 [21 24 31 27 32 16 19 31 19 23 35 20 20 18 27 37 28 22 21 29]
 [27 27 16 28 25 28 27 18 26 32 20 25 24 28 24 28 33 24 20 20]
 [27 34 29 21 35 27 19 24 29 23 22 26 22 25 23 20 25 28 23 18]
 [24 17 30 28 32 18 22 23 27 27 24 26 21 25 23 27 22 28 24 32]
 [30 20 24 22 32 25 24 15 24 26 34 26 25 22 22 27 24 29 25 24]
 [25 17 27 25 24 17 20 31 21 29 27 19 22 27 18 33 26 29 34 29]
 [34 27 40 16 23 28 15 21 21 26 30 23 18 27 24 34 20 29 19 25]
 [32 20 19 26 28 25 27 19 27 29 27 25 30 22 18 28 27 31 19 21]
 [30 35 17 28 24 19 28 37 26 18 19 25 32 29 26 21 25 14 25 22]
 [23 29 27 28 24 26 23 17 22 26 26 21 23 24 26 24 32 28 19 32]
 [23 30 28 27 25 29 20 28 23 24 18 21 26 30 20 19 22 25 33 29]
 [17 22 30 25 24 26 26 26 26 26 26 22 24 28 26 21 25 28 25 27]
 [23 27 20 25 30 23 22 27 22 27 23 30 23 19 14 33 25 19 32 36]
 [22 33 15 31 31 16 31 26 24 23 24 26 25 22 29 26 28 25 16 27]
 [23 20 28 29 27 20 28 29 25 32 26 17 21 28 25 29 26 24 24 19]
 [26 26 23 29 32 30 31 29 24 17 26 20 18 23 28 22 27 22 19 28]]"
coarse,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),27.92827821,0.2537,0.2537,0.2537,0.2537,0.2537,"[[117  54   2  18   4  24  12  28  21  20  22  31  32  13  10  24  19   7
   22  20]
 [ 60 128  21  17  29  12  14  11  16  13  36  11  22  12  17  25  19  10
   11  16]
 [  3  12 204  16  67   9  18  18  17   6  10  22   9  15  29   8   3  20
    7   7]
 [ 19  18  15 107  28  46  44  21  19   6  23  12  14  14  30  18  14  13
   21  18]
 [  5  10  62  10 191  10  20  29  23   3   3  21   9  17  25  18   9  22
    5   8]
 [ 24  24  15  53  10  94  31  12  20  12  20  13  20  12  26  20  15  16
   42  21]
 [ 13  13  27  31  33  34 117  15  18   7  21  13  16  12  34  11  22   9
   33  21]
 [ 26  16  23  27  25  15  15 144  19   4   2  33  28  23  11  32  17  10
   12  18]
 [ 20  15  21  22  19  18  25  39  55   5   6  33  54  29  23  32  45  11
   16  12]
 [ 26  19   1  12   5  14   6   5   8 176  90  13   5   5   9   7   4  44
   31  20]
 [ 18  27  17  14  10  17   4   6  10  85 197  13   8   3   5  13  10  15
   14  14]
 [ 15  15  10  13  12  16  23  37  16  32  14  87  41  22  10  31  28  28
   32  18]
 [ 15  24  11  21   9  21  11  38  40   7   3  35 107  16  22  27  50   3
   22  18]
 [ 26  39  28  26  30  33  37  36  27   8   8  23  37  30  27  26  28   7
   13  11]
 [ 11  16  25  33  24  22  33  12  21   8  14  17  19  20 151  14  38   7
   11   4]
 [ 27  48  12  32  12  24  29  38  24  15  12  13  41  34   9  47  36  15
   18  14]
 [ 15  24  21  35  15  18  30  48  33   5   7  26  59  12  32  30  53  10
   16  11]
 [ 13  15  13   5  10   8   7  12  12  20  11  16   7   2   3   9   4 311
   13   9]
 [ 18  12  13  16  12  31  14  11  12  54  27  24  20  11  10  21  17  27
  102  48]
 [ 21  19   8  22  10  14  12  15  13  38  32  17  26  10   9  16  16  29
   54 119]]"
coarse,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),382.5739892,0.168,0.168,0.168,0.168,0.168,"[[ 83  39   8  15   4  23  20  17  19  28  23  21  32  30  20  34  21  21
   17  25]
 [ 52  80  18  22  25  19  23  18  15  21  22  16  23  16  23  33  22  15
   17  20]
 [  8  27 129  16  54  14  24  29  16   5  12  13  15  26  34  17  16  17
   16  12]
 [ 17  17  16 107  23  36  27  18  26  20  13  19  19  23  19  30  19  17
   20  14]
 [ 12  22  51  14 116  19  29  18  23   9  17  14  15  23  25  14  27  17
   16  19]
 [ 20  26  15  47  18  73  29  19  25  14  15  17  13  22  23  28  32  17
   20  27]
 [ 17  24  20  36  30  27  68  32  28  16  12  20  18  22  26  28  26  10
   24  16]
 [ 20  18  31  22  16  20  25  68  25   7  13  26  36  34  15  41  34   9
   14  26]
 [ 16  17  15  25  19  24  20  32  49  17   8  38  35  36  28  41  30  10
   18  22]
 [ 26  10   7  16  10  16  25   8   8 113  54  23  13  12  12  18  13  46
   32  38]
 [ 20  18  13  14  10  14  14  13   8  64 161  12  10  13  10  22  13  24
   20  27]
 [ 31  22  16  18  15  23  17  26  38  17  11  52  27  25  18  27  28  25
   33  31]
 [ 25  26  11  24  17  14  28  20  50  10   9  35  57  30  21  35  43  16
   15  14]
 [ 25  22  24  37  25  34  21  27  23   6  15  25  24  57  27  23  31  12
   26  16]
 [ 13  21  25  24  27  30  25  14  31  15  11  22  33  24  67  32  38  16
   15  17]
 [ 29  24  11  23  15  23  28  31  36   9   8  35  20  38  28  45  34  15
   26  22]
 [ 31  22  17  17  24  21  38  21  42  18  12  33  26  27  22  41  53   9
   13  13]
 [ 18  16  10  16  10  10  16  16  11  42  18  27  19  16  13  10  18 169
   26  19]
 [ 23  25  18  21  14  19  26  21  20  43  17  30  22  22  23  18  17  33
   54  34]
 [ 28  16  12  20   9  25  26  20  24  43  33  27  18  21  17  16  15  26
   25  79]]"
coarse,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),16.97529268,0.2428,0.2428,0.2428,0.2428,0.2428,"[[148  94   0  16   5  10   4  24  11  11  64   8  11  39   0  24  18   8
    1   4]
 [ 73 204   4  16   8  10  11   2   7   8  52   6  20  33   0  15  12  13
    0   6]
 [ 23  57 127  43  31  12  33   9  13   2  41   3  12  36   2  30  12  12
    0   2]
 [ 29  52   6 233  13  12  21   6   3   6  38   7   7  31   1  13  10   6
    0   6]
 [ 29  50  17  53 159   6  25  10   8   1  33   2  13  34   0  27  16  15
    2   0]
 [ 40  52   6  84  13 101  19  12   4   4  68   9  10  32   2  15  10  13
    1   5]
 [ 37  48   5  67  16  26 111  11   5   9  68   6   8  31   2  23  15   8
    1   3]
 [ 55  51  14  28  12  10  11 132   9   4  11  11  24  57   1  31  29   9
    0   1]
 [ 59  79   4  24   5  19  25  21  50   7  26  18  32  60   1  42  19   7
    1   1]
 [ 29  27   3  10   1   5  10   3   3 121 231   2   8  10   1   4   1  24
    2   5]
 [ 24  31   2   8   1   2   7   2   2  18 343   2   8  18   1   4  13  11
    0   3]
 [ 83  57   3  31   5  14  13  25   8  17  54  45  27  47   2  21  21  24
    1   2]
 [ 74  76   3  30   3  18   9  17  15   5  29  22  82  51   2  24  26   8
    1   5]
 [ 57  83   9  44  20  18  20  23   9   6  37   8  28  83   2  28  21   4
    0   0]
 [ 41  65   5  66  15  21  30  12  16  15  55   8  25  39  39  18  20   6
    1   3]
 [ 71  94   3  39   5  20  15  21   7   2  39  19  20  62   1  48  18  11
    1   4]
 [ 55  78   6  41   8  17  22  11  12   6  30  16  32  49   1  34  71   7
    1   3]
 [ 40  30   2  18   6   4   3   7   5  29  60   8   6  17   1   9  13 235
    0   7]
 [ 58  61   1  24   3  24  17  15   5  30 108  10  15  28   1  18  15  33
   28   6]
 [ 52  36   2  27   3  12  12  11   8  29 125  10  18  24   0  14   9  38
    2  68]]"
coarse,0,0,0,0,LinearSVC,LinearSVC(random_state=42),6371.878662,0.1362,0.1362,0.1362,0.1362,0.1362,"[[ 33  23   4  16   8  49   8  23  17  15  40  19  27  13  36  92  15  26
   21  15]
 [ 18  40  21  12  21  78  12   9  21  16  42  10  20  12  32  82   8  18
   14  14]
 [ 13  15 154  12  31  20  12  11  22  10  24  24  12  23  23  25  11  41
   10   7]
 [ 11  67  14  31  14  46   9  33  16   5  20   7  48  12  60  34  12  15
   33  13]
 [ 10  59  56   8  76  16  16  20  29   6  14  13  24  36  30  28   6  38
    9   6]
 [ 11  65  14  22  13  54  22  23  17   6  43   9  30  21  64  32  14  11
   18  11]
 [ 13  81  22  12   8  27  40  20  15   7  39  13  29  24  86  20  10  15
   15   4]
 [ 24  26  29  12  12  22   9  80  16   5  17  28  42  28  56  21  10  29
   16  18]
 [ 27  18  23  26  16  60  14  17  49   5  23  21  31  28  48  41  16  21
   12   4]
 [  3  52   2  15   3  31  15   6  10  49 107  13  16  12  17  26  25  52
   27  19]
 [  6  73   9   4   1  41   7   1   9  51 146  12  13   9   8  34  17  35
   15   9]
 [ 22  14   8  14  10  36  12  26  26  13  40  38  33  30  35  40  14  52
   23  14]
 [ 23  14  20  24  14  62   6  17  47   6  38  27  42  21  44  42  11  12
   14  16]
 [ 18  41  34  14  14  47  13  17  24   7  34  17  36  24  51  58  11  16
   15   9]
 [ 19  33  34  19  16  37  24  14  24   2  28   8  26  14 104  34  17  12
   26   9]
 [ 27  31  14  15   5  46  13  28  30  13  28  10  42  23  70  51  11  21
   13   9]
 [ 26  40  16  22  10  68  16  19  27   7  25  25  42  25  41  31  23  10
   17  10]
 [  4   9  10   3   6  21  10  15  14  17  60   8  11   7  25  10   5 247
    8  10]
 [ 12  36  12   9   5  25  10  11  19  27  53  23  22  34  37  25  16  44
   55  25]
 [  8  52   7   5  15  31  10  23  19  33  48  14  37  21  31  23  20  46
   31  26]]"
coarse,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),126.6035268,0.2185,0.2185,0.2185,0.2185,0.2185,"[[127  43   3  16   4  26  12  25  18  23  22  26  41  17  14  22  17   7
   20  17]
 [ 63 111  19   8  23  14  14  10  22  18  28  14  26  17  20  29  23   7
   17  17]
 [  2  11 142  20  56  17  15  20  25   9  10  21  15  26  36  17  16  25
    8   9]
 [ 21  18   8 107  34  57  29  15  22   6  20  17  21  21  24  15  19   7
   23  16]
 [  3  10  44  23 174  17  23  31  24   3   5  24  16  18  23  22  17   7
    7   9]
 [ 22  22   9  49   8  99  31  19  18  15  19  15  18  24  20  19  27  15
   29  22]
 [  8  12  19  35  27  51 103  15  17  15  13  22  17  19  31  18  30   7
   23  18]
 [ 27  12  16  26  23  20  19  96  29   7   3  37  28  37  15  32  25   9
   18  21]
 [ 22  18   8  14  15  18  29  27  71   7   3  36  64  22  25  34  47   8
   20  12]
 [ 25  14   0   8   2  22   8  10   7 154 102  17   4   8   7  15  12  33
   28  24]
 [ 27  21   7  19   6   9   9   3   6 100 197  17  12   8   4  15  13   6
    9  12]
 [ 18  17   3  21  10  19  13  38  35  35  15  57  32  32  17  29  33  29
   28  19]
 [ 17  16   9  22  11  18  19  38  40   6   6  40  80  29  28  29  44   4
   22  22]
 [ 29  24  21  25  20  37  36  35  25   9   8  25  39  32  33  34  39   3
   15  11]
 [ 13  18  15  42  18  29  32  14  37   9   5  16  25  28 106  18  31  12
   17  15]
 [ 27  33   5  26  10  29  25  36  34  17  10  17  48  31  11  48  35  14
   25  19]
 [ 19  15  10  37  12  26  29  23  51  11   8  26  47  28  34  24  64   9
   16  11]
 [ 15  14   8   6  10  16   7  12  20  34  13  15  14   6   8  11   7 258
   13  13]
 [ 19  13  11  13  12  36  20  11  15  59  36  17  29  11  15  22  22  15
   78  46]
 [ 20  16   5  22   9  22  14  17  18  54  44  19  17  13  12  20  22  22
   53  81]]"
coarse,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),141.7488444,0.0568,0.0568,0.0568,0.0568,0.0568,"[[ 0  0 29 31 26 72 55 18 17 51 31 15 30  0  0 24  0 45 20 36]
 [ 0  0 38 32 27 48 47 22 27 45 31 21 29  0  0 33  0 39 26 35]
 [ 0  0 48 28 30 41 37 27 31 54 30 19 30  0  0 33  0 37 15 40]
 [ 0  0 35 33 26 60 51 27 26 45 29 22 25  0  0 22  0 50 20 29]
 [ 0  0 31 32 29 59 49 29 18 34 31 20 23  0  0 40  0 37 26 42]
 [ 0  0 26 25 30 63 50 28 28 48 41 18 28  0  0 28  0 37 20 30]
 [ 0  0 37 31 19 56 46 28 20 54 36 27 21  0  0 33  0 38 20 34]
 [ 0  0 26 23 31 59 40 28 28 52 42 13 21  0  0 36  0 37 27 37]
 [ 0  0 35 28 31 49 44 31 26 45 34 18 30  0  0 38  0 40 18 33]
 [ 0  0 26 24 20 53 43 22 29 61 37 34 23  0  0 30  0 40 22 36]
 [ 0  0 23 38 21 63 53 28 24 49 38 19 21  0  0 37  0 39 21 26]
 [ 0  0 32 29 21 58 55 28 25 43 35 24 31  0  0 28  0 46 13 32]
 [ 0  0 30 32 22 64 42 36 31 51 34 16 23  0  0 20  0 39 30 30]
 [ 0  0 29 27 31 51 51 26 24 48 32 17 29  0  0 29  0 43 23 40]
 [ 0  0 38 33 28 45 39 30 27 51 34 14 30  0  0 32  0 28 26 45]
 [ 0  0 25 31 13 61 32 30 26 54 38 24 29  0  0 36  0 37 25 39]
 [ 0  0 27 27 26 52 33 29 22 59 41 15 37  0  0 34  0 39 26 33]
 [ 0  0 25 28 27 62 37 26 21 52 45 19 18  0  0 27  0 53 18 42]
 [ 0  0 26 46 18 54 45 24 24 52 27 17 24  0  0 36  0 43 20 44]
 [ 0  0 38 33 22 56 40 27 28 53 44 14 19  0  0 23  0 43 20 40]]"
Fashion,,,,,DummyClassifier,DummyClassifier(),0.002994299,0.1,0.1,0.1,0.1,0.1,"[[1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]
 [1000    0    0    0    0    0    0    0    0    0]]"
Fashion,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002985001,0.1007,0.1007,0.1007,0.1007,0.1007,"[[ 99  96 101  98 101 104 105 108  94  94]
 [ 93 111  92  96  86  94 119 123 106  80]
 [ 84 104 104  98  85 116 115  88  88 118]
 [105 106  87 103 107 106 103 107  96  80]
 [106 110  83  98 108 106  92  89 111  97]
 [ 95  97 110 110  97  93  91  89 107 111]
 [ 98  90 102 103  91 113 103  92 103 105]
 [104  99 114 114  99  89  91  88  98 104]
 [ 97  99 106  98  74 112 120  93 100 101]
 [ 99  96 111  99 101 112  95  88 101  98]]"
fashion,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),8.004303455,0.8515,0.8515,0.8515,0.8515,0.8515,"[[817   3  16  36   2   4 104   1  16   1]
 [  1 977   2  13   0   1   6   0   0   0]
 [ 21   1 757  10 105   0  99   0   7   0]
 [ 39  21  14 866  27   2  25   0   6   0]
 [  1   2  81  26 800   1  84   1   4   0]
 [  1   2   0   1   0 916   1  47   5  27]
 [158   3 100  34  90   2 595   0  18   0]
 [  0   0   0   0   0  37   0 916   2  45]
 [  6   0   7   5   4   9  26   4 934   5]
 [  0   0   0   0   0  17   0  45   1 937]]"
fashion,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),55.29355812,0.7983,0.7983,0.7983,0.7983,0.7983,"[[742   6  18  40   6   3 169   3  13   0]
 [  4 961   3  19   8   0   4   0   1   0]
 [ 25   5 686  18 135   3 116   0  11   1]
 [ 42  28  17 816  61   1  32   0   3   0]
 [  5   4 147  50 689   1  93   0  10   1]
 [  1   1   0   0   1 872   4  69  19  33]
 [159  10 106  39 100   1 570   0  14   1]
 [  0   0   0   0   0  53   0 860   7  80]
 [ 20   1  16   7  19  10  20   7 895   5]
 [  1   0   0   1   1  24   4  72   5 892]]"
fashion,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),6.472417831,0.8612,0.8612,0.8612,0.8612,0.8612,"[[882   2  15  13   5   0  78   1   3   1]
 [  5 972   2  15   3   0   3   0   0   0]
 [ 21   0 785  11 100   0  82   0   1   0]
 [ 40  10  11 882  33   0  24   0   0   0]
 [  2   0  90  26 797   0  84   0   1   0]
 [  2   0   0   1   0 840   5  93   2  57]
 [196   3 101  20  65   0 609   0   6   0]
 [  0   0   0   0   0   6   0 942   0  52]
 [  5   1  14   2   7   2  21   6 939   3]
 [  0   0   0   0   0   5   0  31   0 964]]"
fashion,0,0,0,0,LinearSVC,LinearSVC(random_state=42),452.4037702,0.8394,0.8394,0.8394,0.8394,0.8394,"[[757   2  31  30   3   5 150   2  20   0]
 [  0 970   4  14   0   1  10   1   0   0]
 [ 11   5 722   9 167   0  74   2   9   1]
 [ 28  25  14 858  26   3  35   1   9   1]
 [  2   3  69  25 835   1  59   2   4   0]
 [  1   4   0   0   0 909   0  51  11  24]
 [121   7 128  33 109   0 572   2  28   0]
 [  0   1   0   0   0  45   0 908   1  45]
 [  4   2   9  11   2  15  23   6 926   2]
 [  0   0   2   0   1  17   0  40   3 937]]"
fashion,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),19.47896266,0.8253,0.8253,0.8253,0.8253,0.8253,"[[766   0  16  69   1   3 127   0  18   0]
 [  3 938  10  37   0   1  11   0   0   0]
 [ 18   0 713   8 150   2  99   0  10   0]
 [ 22   3  18 871  25   3  58   0   0   0]
 [  0   1  79  24 782   1 110   0   3   0]
 [  1   0   1   0   0 890   1  69  12  26]
 [144   0 102  39  85   2 610   0  18   0]
 [  0   0   0   0   0  69   0 859   0  72]
 [  2   0   5  10   4  23  34   4 917   1]
 [  0   0   0   0   0  39   0  54   0 907]]"
fashion,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),10.05461383,0.2433,0.2433,0.2433,0.2433,0.2433,"[[ 862    0    0    0    0    0   95    0   43    0]
 [ 745    0    0    0    0    0  253    0    2    0]
 [  88    0    0    0    0    0  886    0   26    0]
 [ 730    0    0    0    0    0  265    0    5    0]
 [  59    0    0    0    0    0  931    0   10    0]
 [   0    0    0    0    0    0   23    0  977    0]
 [ 303    0    0    0    0    0  648    0   49    0]
 [   0    0    0    0    0    0    0    0 1000    0]
 [  47    0    0    0    0    0   30    0  923    0]
 [   0    0    0    0    0    0   23    0  977    0]]"
